Date,Open,High,Low,Close,Adj Close,Volume
2007-05-03,64.589996,64.800003,63.310001,64.110001,46.201977,51071300
2007-05-10,64.010002,64.010002,61.650002,63.049999,45.438084,103308500
2007-05-17,63.099998,64.099998,62.529999,63.810001,45.985794,55266600
2007-05-24,63.759998,64.080002,62.759998,63.220001,45.560604,40455400
2007-05-31,63.000000,63.770000,62.549999,62.900002,45.626732,56005500
2007-06-07,62.639999,62.900002,61.320000,62.180000,45.104458,63994100
2007-06-14,62.200001,63.119999,61.990002,62.040001,45.002899,57110800
2007-06-21,61.910000,62.340000,60.730000,61.450001,44.574921,73465200
2007-06-28,61.500000,62.279999,61.200001,61.950001,44.937614,34347400
2007-07-05,62.099998,63.330002,61.869999,62.860001,45.597710,60137300
2007-07-12,63.049999,63.880001,62.020000,62.200001,45.118958,77870900
2007-07-19,62.349998,62.700001,61.189999,61.529999,44.632938,57243100
2007-07-26,61.029999,61.779999,59.720001,60.959999,44.219475,99939700
2007-08-02,60.799999,62.490002,60.310001,62.490002,45.329327,78411200
2007-08-09,62.000000,62.599998,60.500000,61.299999,44.466110,79986100
2007-08-16,60.799999,62.980000,60.730000,62.009998,44.981136,79930900
2007-08-23,62.150002,62.369999,61.230000,61.860001,44.872318,53400500
2007-08-30,61.349998,62.070000,61.349998,61.650002,45.020809,42161200
2007-09-06,61.700001,62.669998,61.259998,62.509998,45.648838,53031900
2007-09-13,62.680000,64.779999,62.570000,64.489998,47.094757,64563200
2007-09-20,64.500000,65.629997,64.180000,65.389999,47.752007,64578000
2007-09-27,65.379997,66.800003,65.339996,66.099998,48.270489,49717800
2007-10-04,66.099998,66.400002,65.669998,65.830002,48.073318,39991500
2007-10-11,65.980003,66.239998,64.610001,64.849998,47.357658,51106300
2007-10-18,65.239998,65.320000,63.549999,64.440002,47.058250,58821800
2007-10-25,64.419998,65.459999,63.730000,65.169998,47.591335,51180300
2007-11-01,64.800003,65.379997,63.730000,63.910000,46.671207,49762600
2007-11-08,63.970001,67.349998,63.849998,66.889999,48.847397,78814400
2007-11-15,66.760002,68.010002,66.540001,67.139999,49.029953,76293200
2007-11-22,67.400002,68.480003,66.169998,68.349998,49.913589,52312500
2007-11-29,67.989998,68.750000,67.199997,68.209999,50.121162,55319500
2007-12-06,68.190002,68.500000,67.019997,67.699997,49.746391,57478900
2007-12-13,67.500000,68.000000,67.180000,67.320000,49.467175,50755000
2007-12-20,67.680000,68.300003,67.230003,67.559998,49.643532,39890700
2007-12-27,67.099998,67.980003,65.720001,65.910004,48.431095,33388100
2008-01-03,65.750000,68.290001,65.360001,67.800003,49.819874,67313500
2008-01-10,67.430000,68.849998,67.309998,68.309998,50.194633,70102400
2008-01-17,68.370003,68.559998,62.130001,64.199997,47.174580,93385700
2008-01-24,64.540001,64.540001,62.000000,62.180000,45.690262,75932100
2008-01-31,61.860001,63.750000,61.720001,63.049999,46.329556,61908100
2008-02-07,62.810001,63.750000,61.360001,63.410000,46.594082,60777400
2008-02-14,63.299999,63.830002,62.450001,63.230000,46.461819,46945600
2008-02-21,63.380001,64.070000,62.500000,63.040001,46.322186,49995200
2008-02-28,63.099998,63.490002,61.619999,63.130001,46.696030,57417000
2008-03-06,62.950001,63.299999,61.169998,62.549999,46.267029,68070800
2008-03-13,62.520000,65.809998,61.639999,64.879997,47.990471,89480800
2008-03-20,64.970001,65.540001,64.209999,64.699997,47.857338,47030800
2008-03-27,64.820000,65.970001,63.720001,65.309998,48.308525,54192100
2008-04-03,64.800003,66.610001,64.800003,66.290001,49.033417,42083700
2008-04-10,66.260002,66.750000,64.989998,65.699997,48.597004,57813600
2008-04-17,65.639999,67.489998,65.550003,67.260002,49.750927,52386800
2008-04-24,67.209999,67.739998,66.919998,67.089996,49.625156,48672100
2008-05-01,67.129997,68.320000,66.790001,66.910004,49.492027,58393800
2008-05-08,67.029999,67.160004,66.300003,66.809998,49.418049,44465200
2008-05-15,66.980003,66.989998,65.580002,65.730003,48.619198,50750300
2008-05-22,65.690002,65.750000,64.639999,64.879997,47.990471,42093700
2008-05-29,64.660004,67.040001,64.540001,66.550003,49.572659,54215700
2008-06-05,66.660004,67.099998,65.110001,65.199997,48.567055,52205400
2008-06-12,65.239998,66.370003,64.199997,64.440002,48.000938,46816000
2008-06-19,64.309998,65.680000,63.880001,65.279999,48.626648,55298400
2008-06-26,64.680000,65.349998,63.099998,64.639999,48.149918,71356500
2008-07-03,64.349998,67.000000,64.250000,66.180000,49.297054,51639200
2008-07-10,66.059998,68.809998,66.000000,68.190002,50.794300,88233100
2008-07-17,68.440002,68.449997,67.000000,68.269997,50.853889,64208400
2008-07-24,68.260002,69.250000,67.709999,68.080002,50.712360,63397200
2008-07-31,67.800003,71.489998,67.790001,71.070000,52.939575,75454000
