"sub","number","name","url"
"BIO","319L","Ichthyology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-319L"
"BIO","322.1","Field Botany","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-322-1"
"BIO","322L","Field Botany Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-322L"
"BIO","326","Coastal Marine Ecology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-326"
"BIO","326L","Coastal Marine Ecology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-326L"
"BIO","330","Cell Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-330"
"BIO","330L","Cell Biology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-330L"
"BIO","331","Evolution","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-331"
"BIO","331L","Evolution Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-331L"
"BIO","339","Mammalogy","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-339"
"BIO","339L","Mammalogy Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-339L"
"BIO","345","Ecology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-345"
"BIO","345L","Ecology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-345L"
"BIO","346","Field Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-346"
"BIO","346.1","Field Biology Preparation","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-346-1"
"BIO","349","Vertebrate Natural History","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-349"
"BIO","349L","Vertebrate Natural History Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-349L"
"BIO","354","Selected Topics: Human Anatomy","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-354"
"BIO","354L","Selected Topics: Human Anatomy Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-354L"
"BIO","357","Molecular Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-357"
"BIO","360","Microbiology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-360"
"BIO","360L","Microbiology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-360L"
"BIO","361","Pathobiology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-361"
"BIO","365","Immunology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-365"
"BIO","365L","Immunology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-365L"
"BIO","371","Endocrinology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-371"
"BIO","372","Developmental Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-372"
"BIO","372L","Developmental Biology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-372L"
"BIO","374","Animal Physiology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-374"
"BIO","374L","Animal Physiology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-374L"
"BIO","375","Plant Physiology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-375"
"BIO","375L","Plant Physiology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-375L"
"BIO","376","Neurophysiology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-376"
"BIO","376L","Neurophysiology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-376L"
"BIO","377","Physiology of Extremes","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-377"
"BIO","377L","Physiology Extremes Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-377L"
"BIO","395","Research Methods and Techniques","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-395"
"BIO","396","Biology Research","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-396"
"BIO","397","Internship","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-397"
"BIO","398","Readings & Conference","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-398"
"BIO","399T","Special Topics in Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-399T"
"BIO","399T.1","Developmental Biology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-399T-1"
"BIO","399T.2","Neurobiology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-399T-2"
"BIO","399T.2L","Neurobiology Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-399T-2L"
"BIO","399TL","Biology Special Topics Laboratory","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/300/BIO-399TL"
"BIO","450","Biology Capstone Seminar","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/400/BIO-450"
"BIO","490","Laboratory Assistant","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/400/BIO-490"
"BIO","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/400/BIO-494"
"BIO","495","Research Methods/Techniques","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/400/BIO-495"
"BIO","496","Biology Research","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/400/BIO-496"
"BIO","497","Internship","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/400/BIO-497"
